
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
10.583529; 0.071328; 12.976587; 3.118721; -0.005158; 8.500000; 0.000000; 0.426389; 0.482105
10.783235; 0.065998; 12.776952; 3.117690; -0.005173; 8.500000; 0.000000; 0.427789; 0.480307
10.982941; 0.060523; 12.577322; 3.116656; -0.005180; 8.500000; 0.000000; 0.429297; 0.479938
11.182647; 0.054903; 12.377695; 3.115621; -0.005181; 8.500000; 0.000000; 0.430434; 0.479952
11.382352; 0.049139; 12.178072; 3.114587; -0.005176; 8.500000; 0.000000; 0.431211; 0.480327
11.582058; 0.043231; 11.978453; 3.113554; -0.005167; 8.500000; 0.000000; 0.431645; 0.481044
11.781764; 0.037180; 11.778839; 3.112524; -0.005153; 8.500000; 0.000000; 0.431725; 0.481854
11.981470; 0.030985; 11.579229; 3.111497; -0.005136; 8.500000; 0.000000; 0.431570; 0.477286
12.181176; 0.024646; 11.379624; 3.110473; -0.005117; 8.500000; 0.000000; 0.462779; 0.479148
12.380882; 0.018163; 11.180023; 3.109453; -0.005096; 8.500000; 0.000000; 0.500626; 0.482878
12.580588; 0.011535; 10.980427; 3.108438; -0.005073; 8.500000; 0.000000; 0.509641; 0.488579
12.780294; 0.004763; 10.780836; 3.107427; -0.005051; 8.500000; 0.000000; 0.494622; 0.494572
12.980000; -0.002155; 10.581250; 3.106421; -0.005029; 8.500000; 0.000000; 0.474179; 0.491244
13.179706; -0.009217; 10.381669; 3.105419; -0.005008; 8.500000; 0.000000; 0.453236; 0.485603
13.379412; -0.016426; 10.182093; 3.104421; -0.004988; 8.500000; 0.000000; 0.435973; 0.477114
13.579118; -0.023781; 9.982523; 3.103427; -0.004960; 8.500000; 0.000000; 0.426309; 0.480334
13.778824; -0.031282; 9.782958; 3.102440; -0.004932; 8.500000; 0.000000; 0.419276; 0.494273
13.978530; -0.038931; 9.583398; 3.101457; -0.004907; 8.500000; 0.000000; 0.416182; 0.507585
14.178236; -0.046727; 9.383845; 3.100479; -0.004887; 8.500000; 0.000000; 0.414356; 0.519977
14.377942; -0.054671; 9.184297; 3.099505; -0.004874; 8.500000; 0.000000; 0.412641; 0.532224
14.577647; -0.062763; 8.984755; 3.098532; -0.004866; 8.500000; 0.000000; 0.417993; 0.531359
14.777353; -0.071003; 8.785219; 3.097561; -0.004863; 8.500000; 0.000000; 0.424031; 0.498104
14.977059; -0.079390; 8.585689; 3.096594; -0.004819; 8.500000; 0.000000; 0.434123; 0.487178
15.176765; -0.087926; 8.386166; 3.095639; -0.004752; 8.500000; 0.000000; 0.446873; 0.491845
